,region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,state
159333,fargo / moorhead,595,apartment,750,1,1.0,0,0,0,0,0,0,laundry in bldg,detached garage,mn
283032,nashville,1695,townhouse,2132,3,3.0,1,1,0,0,0,0,w/d in unit,,tn
378886,modesto,1450,apartment,992,2,2.0,1,1,0,0,0,0,w/d hookups,carport,ca
65334,treasure coast,1330,apartment,851,1,1.0,0,1,1,0,0,0,w/d in unit,detached garage,fl
377134,los angeles,1610,apartment,750,1,1.0,0,0,1,0,0,0,laundry on site,carport,ca
168812,jackson,715,apartment,750,2,1.0,0,0,1,0,0,0,laundry on site,off-street parking,ms
137933,frederick,1475,townhouse,1900,3,2.5,0,0,1,0,0,0,w/d hookups,street parking,md
336951,seattle-tacoma,1645,apartment,1000,2,1.0,1,1,0,1,0,0,w/d in unit,off-street parking,wa
21560,denver,1789,apartment,1068,2,2.0,1,1,1,0,0,0,w/d in unit,detached garage,co
80469,valdosta,980,apartment,633,1,1.0,1,1,1,0,0,0,,no parking,ga
63036,tampa bay area,1056,apartment,1165,2,2.0,1,1,1,0,0,0,laundry on site,off-street parking,fl
43211,jacksonville,1345,apartment,824,1,1.0,0,0,1,0,0,0,,,fl
34921,delaware,1550,apartment,1000,2,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,de
168363,jackson,650,apartment,750,1,1.5,1,1,1,0,0,0,laundry on site,,ms
69668,atlanta,1405,apartment,1059,2,1.0,1,1,1,0,0,0,,,ga
2075,sacramento,1969,apartment,1233,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
208352,albany,1200,apartment,1084,2,2.0,1,1,0,0,0,0,w/d in unit,off-street parking,ny
158234,southwest michigan,799,manufactured,1056,3,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,mi
345309,milwaukee,1080,apartment,978,2,1.0,1,1,1,0,0,0,,,wi
417,reno / tahoe,1430,apartment,1037,3,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
86755,spokane / coeur d'alene,825,apartment,690,1,1.0,1,1,0,0,0,0,w/d in unit,carport,id
258871,york,565,apartment,600,1,1.0,1,1,1,0,0,0,no laundry on site,off-street parking,pa
328793,richmond,780,apartment,620,1,1.0,0,0,1,0,0,0,,,va
153024,holland,510,house,1010,3,1.0,0,1,1,0,0,0,,,mi
320781,vermont,3100,apartment,1885,4,1.0,0,0,0,0,0,0,,,vt
305046,odessa / midland,1499,apartment,728,1,1.0,1,1,1,0,0,0,w/d in unit,,tx
296945,el paso,630,apartment,680,2,1.0,1,1,1,0,0,0,laundry on site,,tx
124328,baton rouge,629,apartment,816,2,2.0,1,1,0,1,0,1,w/d in unit,,la
96133,"st louis, MO",795,apartment,1250,2,1.5,1,1,0,0,0,0,w/d hookups,off-street parking,il
123691,louisville,1260,apartment,1148,2,2.0,1,1,1,0,0,0,w/d hookups,,ky
152837,holland,899,apartment,950,2,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,mi
181564,fayetteville,595,apartment,685,1,1.0,0,0,1,0,0,0,,,nc
15608,boulder,2300,house,2600,3,2.0,0,0,1,0,0,1,w/d hookups,attached garage,co
126242,lafayette,839,apartment,800,1,1.0,0,0,1,0,0,0,w/d hookups,,la
165773,st cloud,915,apartment,825,1,1.0,1,1,0,0,0,0,w/d in unit,,mn
72700,augusta,1237,apartment,915,1,1.0,0,0,1,0,0,0,,,ga
258047,scranton / wilkes-barre,675,apartment,1200,2,0.0,0,0,1,0,0,0,w/d hookups,off-street parking,pa
108111,omaha / council bluffs,1010,apartment,822,1,1.0,1,0,0,0,0,0,w/d in unit,off-street parking,ia
216690,utica-rome-oneida,800,duplex,1100,3,1.0,0,0,0,0,0,0,w/d hookups,off-street parking,ny
282236,nashville,1568,apartment,1315,2,2.0,1,1,1,1,0,0,w/d in unit,detached garage,tn
313489,waco,1129,apartment,761,1,1.0,1,1,0,0,0,1,w/d in unit,,tx
362900,tucson,1495,house,1776,3,2.0,0,0,0,0,0,0,w/d in unit,attached garage,az
136277,eastern shore,1950,townhouse,2200,3,2.5,0,0,0,0,0,0,w/d in unit,attached garage,md
158552,brainerd,1695,apartment,800,1,1.0,0,0,0,0,0,1,laundry in bldg,detached garage,mn
289672,beaumont / port arthur,1099,apartment,963,2,2.0,1,1,1,0,0,0,w/d hookups,carport,tx
199492,central NJ,441,house,2040,4,2.0,0,0,1,0,0,0,,,nj
316413,ogden-clearfield,995,apartment,772,1,1.0,1,1,0,0,0,0,w/d in unit,carport,ut
346325,sheboygan,929,apartment,1117,2,1.0,1,1,1,0,0,0,w/d in unit,attached garage,wi
257096,reading,1397,apartment,900,1,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,pa
364424,fayetteville,949,apartment,1074,2,2.0,1,1,1,0,0,0,w/d in unit,,ar
384516,reno / tahoe,260,apartment,210,1,1.0,0,0,1,0,0,0,laundry on site,off-street parking,ca
61673,tallahassee,495,apartment,1700,4,4.0,0,0,1,0,0,1,w/d in unit,off-street parking,fl
263585,columbia,849,townhouse,854,2,1.5,1,1,1,0,0,0,w/d in unit,street parking,sc
235967,northwest OK,625,apartment,663,1,1.0,1,1,1,0,0,0,laundry in bldg,carport,ok
318902,salt lake city,600,apartment,470,1,1.0,0,0,0,0,0,0,laundry in bldg,off-street parking,ut
59648,space coast,700,apartment,550,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking,fl
184189,greensboro,725,apartment,1008,2,1.5,1,1,1,0,0,0,w/d hookups,off-street parking,nc
125941,houma,715,apartment,524,0,1.0,1,1,1,0,0,0,w/d in unit,,la
338926,wenatchee,1000,apartment,950,2,1.0,0,0,0,0,0,0,laundry in bldg,carport,wa
204256,south jersey,1275,apartment,700,1,1.0,1,1,1,0,0,0,w/d in unit,,nj
180736,fayetteville,595,apartment,685,1,1.0,0,0,1,0,0,0,,,nc
294678,corpus christi,845,apartment,652,1,1.0,1,1,1,0,0,0,w/d hookups,,tx
190814,wilmington,854,apartment,438,1,1.0,1,1,1,0,0,0,,off-street parking,nc
328632,norfolk / hampton roads,1350,apartment,1108,2,2.0,1,1,0,1,0,1,w/d in unit,detached garage,va
327903,norfolk / hampton roads,1250,house,1446,3,2.0,1,1,0,0,0,0,w/d in unit,detached garage,va
73744,brunswick,820,apartment,925,2,1.0,1,1,1,0,0,0,laundry on site,off-street parking,ga
143490,worcester / central MA,1500,apartment,624,1,1.0,0,0,1,0,0,0,,,ma
6059,san luis obispo,1450,apartment,800,1,1.0,0,0,1,0,0,0,laundry on site,off-street parking,ca
152744,holland,899,apartment,1216,3,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,mi
241474,bend,1200,apartment,500,1,1.0,1,1,0,0,0,0,no laundry on site,detached garage,or
368659,bakersfield,1050,duplex,964,2,1.0,0,0,1,0,0,0,w/d hookups,carport,ca
116798,wichita,834,townhouse,1495,2,1.5,1,1,0,0,0,0,w/d hookups,off-street parking,ks
274040,chattanooga,950,apartment,1044,1,1.0,1,1,1,0,0,0,w/d hookups,off-street parking,tn
19078,colorado springs,850,apartment,563,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking,co
325719,harrisonburg,1220,apartment,1175,2,2.0,1,1,1,0,0,0,w/d in unit,,va
380578,orange county,2016,apartment,786,1,1.0,1,1,0,1,0,0,w/d in unit,detached garage,ca
237248,oklahoma city,655,apartment,1000,1,1.5,1,1,1,0,0,0,laundry on site,,ok
130055,new orleans,1200,apartment,900,2,1.5,1,1,1,0,0,0,w/d hookups,street parking,la
321651,charlottesville,1349,apartment,1155,3,1.5,1,1,1,0,0,0,w/d in unit,,va
307672,san antonio,810,apartment,660,1,1.0,1,1,1,0,0,0,w/d hookups,,tx
163148,rochester,960,apartment,602,1,1.0,1,1,0,0,0,0,w/d in unit,off-street parking,mn
354129,fairbanks,1995,townhouse,1964,4,2.5,1,1,1,0,0,0,w/d hookups,attached garage,ak
150738,grand rapids,1180,apartment,953,1,2.0,1,1,1,0,0,0,w/d hookups,detached garage,mi
184242,greensboro,745,apartment,984,2,1.0,0,0,1,0,0,0,laundry on site,off-street parking,nc
156255,monroe,1040,apartment,960,2,0.0,1,1,1,0,0,0,w/d hookups,off-street parking,mi
273201,chattanooga,2000,apartment,1278,2,2.0,1,1,0,0,0,1,w/d in unit,off-street parking,tn
154270,lansing,590,apartment,660,1,1.0,1,1,1,0,0,0,laundry in bldg,,mi
227256,cleveland,845,house,1225,3,1.5,1,1,1,0,0,0,w/d hookups,detached garage,oh
254492,philadelphia,1431,apartment,737,1,1.0,0,0,1,0,0,0,,,pa
228724,columbus,1145,apartment,900,2,1.0,1,1,1,0,0,0,w/d hookups,off-street parking,oh
288899,austin,2128,apartment,1471,3,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,tx
332899,kennewick-pasco-richland,1362,apartment,1225,3,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,wa
171410,columbia / jeff city,700,house,1300,3,1.0,1,1,1,1,0,1,w/d in unit,attached garage,mo
38014,ft myers / SW florida,1383,apartment,1099,2,2.0,0,0,1,0,0,0,,,fl
194754,lincoln,1040,apartment,1116,3,2.0,1,1,0,0,0,0,w/d hookups,detached garage,ne
165446,st cloud,1075,apartment,1150,3,2.0,0,0,1,0,0,0,laundry on site,off-street parking,mn
143484,worcester / central MA,1500,apartment,1200,3,1.0,0,0,1,0,0,0,w/d hookups,,ma
76791,macon / warner robins,799,apartment,1015,2,1.5,0,0,1,0,0,0,,,ga
295516,dallas / fort worth,1495,townhouse,1556,3,2.5,1,1,1,0,0,0,w/d hookups,attached garage,tx
34583,delaware,1175,apartment,965,2,1.5,1,1,1,0,0,0,w/d in unit,off-street parking,de
273016,chattanooga,809,apartment,630,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking,tn
11792,stockton,1500,apartment,1030,2,2.0,1,1,1,0,0,0,w/d hookups,carport,ca
41598,gainesville,1664,apartment,1165,2,2.0,1,1,1,0,0,0,w/d in unit,,fl
196825,las vegas,2100,house,2414,5,3.0,1,1,1,1,0,0,w/d in unit,attached garage,nv
123584,louisville,699,apartment,430,1,1.0,1,1,0,1,0,0,laundry in bldg,detached garage,ky
238915,tulsa,820,apartment,925,2,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,ok
64737,tampa bay area,961,apartment,724,1,1.0,1,1,0,0,0,0,w/d hookups,off-street parking,fl
22764,denver,1280,apartment,814,1,1.0,1,1,1,0,0,0,,,co
200566,central NJ,1981,apartment,839,1,1.0,0,0,0,1,0,0,w/d in unit,off-street parking,nj
344628,milwaukee,1550,house,914,3,1.0,1,1,0,0,0,0,w/d hookups,detached garage,wi
277066,knoxville,929,apartment,1132,2,1.0,1,1,1,0,0,0,w/d hookups,off-street parking,tn
199713,central NJ,1600,apartment,800,2,1.0,0,0,1,0,0,0,w/d in unit,off-street parking,nj
169501,jackson,760,apartment,1150,2,2.0,1,1,0,0,0,0,laundry on site,off-street parking,ms
156450,monroe,870,apartment,995,2,1.0,1,1,1,0,0,0,w/d hookups,off-street parking,mi
186216,jacksonville,990,townhouse,1309,3,2.0,1,1,1,0,0,0,w/d hookups,off-street parking,nc
267486,greenville / upstate,920,apartment,928,2,2.0,1,1,1,1,0,0,w/d in unit,street parking,sc
21141,denver,1176,apartment,594,1,1.0,1,1,1,0,0,0,laundry in bldg,,co
271360,rapid city / west SD,1950,house,2800,4,2.0,0,0,0,0,0,0,w/d in unit,attached garage,sd
329010,richmond,1190,house,1075,4,1.5,0,0,1,0,0,0,,,va
342665,madison,785,apartment,675,1,1.0,1,1,0,1,0,1,laundry in bldg,off-street parking,wi
125248,baton rouge,1168,apartment,1028,2,2.0,1,1,1,0,0,0,w/d in unit,,la
258635,williamsport,901,apartment,669,2,1.0,1,1,1,0,0,0,laundry on site,off-street parking,pa
78522,savannah / hinesville,1388,apartment,1153,2,2.0,1,1,0,0,0,0,w/d in unit,,ga
247240,portland,1395,apartment,595,1,1.0,1,1,0,0,0,0,w/d in unit,street parking,or
174408,helena,700,apartment,450,1,1.0,0,0,0,0,0,1,no laundry on site,street parking,mt
349370,birmingham,749,apartment,673,1,1.0,1,1,1,0,0,0,w/d hookups,off-street parking,al
283244,nashville,1090,apartment,1180,2,2.0,1,1,1,0,0,0,,off-street parking,tn
125633,baton rouge,1095,apartment,1278,2,2.0,1,1,1,0,0,0,,,la
358617,mohave county,880,apartment,981,3,2.0,1,1,1,0,0,0,w/d hookups,off-street parking,az
58961,space coast,913,apartment,1101,3,2.0,1,1,1,1,0,0,w/d hookups,off-street parking,fl
140173,boston,2000,apartment,688,1,1.0,0,0,0,0,0,0,laundry in bldg,off-street parking,ma
363063,tucson,640,apartment,404,0,1.0,1,1,1,0,0,0,,,az
52644,panama city,1459,apartment,1195,2,2.0,1,1,1,0,0,0,w/d hookups,,fl
243713,eugene,1295,apartment,1029,2,2.0,1,1,0,0,0,0,w/d in unit,carport,or
142763,worcester / central MA,2025,townhouse,1210,3,1.5,1,0,1,0,0,0,w/d in unit,off-street parking,ma
349766,huntsville / decatur,650,apartment,1054,2,1.5,0,0,0,0,0,0,w/d hookups,,al
89632,chicago,1995,condo,1100,2,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,il
59777,space coast,1395,apartment,1418,2,2.0,0,0,1,0,0,0,,,fl
191856,winston-salem,750,apartment,1062,2,1.5,1,1,1,0,0,0,w/d hookups,off-street parking,nc
253682,philadelphia,1250,house,1717,4,2.5,1,1,1,0,0,0,,,pa
308498,san antonio,1238,apartment,675,1,1.0,1,1,0,1,0,0,w/d in unit,attached garage,tx
17307,boulder,830,apartment,920,2,2.0,1,1,1,1,0,1,,off-street parking,co
331140,roanoke,899,apartment,1021,2,1.5,0,0,1,0,0,0,,,va
355357,anchorage / mat-su,2200,house,2059,3,2.5,0,1,1,0,0,0,w/d in unit,attached garage,ak
322671,fredericksburg,1350,apartment,1309,3,2.5,1,1,1,0,0,0,w/d hookups,,va
62512,tallahassee,625,apartment,725,1,1.0,1,1,1,0,0,0,laundry on site,,fl
127511,lafayette,945,apartment,940,1,1.0,1,1,0,0,0,0,w/d hookups,,la
55722,sarasota-bradenton,1169,apartment,760,1,1.0,1,1,1,0,0,0,w/d in unit,,fl
157747,saginaw-midland-baycity,763,apartment,1288,3,1.5,0,0,1,0,0,0,w/d in unit,off-street parking,mi
351289,huntsville / decatur,674,apartment,800,2,1.0,1,1,0,1,0,1,w/d hookups,off-street parking,al
244879,portland,1589,apartment,645,0,1.0,1,1,0,1,1,0,w/d in unit,attached garage,or
384790,reno / tahoe,1500,apartment,900,2,2.0,1,1,0,0,0,0,w/d in unit,attached garage,ca
20880,denver,1707,apartment,1174,2,2.0,1,1,1,1,0,0,w/d in unit,,co
240333,tulsa,750,apartment,864,2,1.5,0,0,1,0,0,0,no laundry on site,off-street parking,ok
218379,new hampshire,1750,apartment,917,2,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,nh
204862,albuquerque,1382,apartment,1218,3,2.0,0,0,1,0,0,0,,,nm
284366,tri-cities,699,apartment,950,2,1.5,0,0,1,0,0,0,,,tn
151111,grand rapids,900,manufactured,900,3,2.0,1,1,1,0,0,0,laundry in bldg,off-street parking,mi
197603,las vegas,715,apartment,500,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking,nv
346450,wausau,995,apartment,1100,2,2.0,1,1,0,0,0,0,w/d in unit,attached garage,wi
302591,laredo,1219,apartment,1052,2,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,tx
144006,worcester / central MA,2280,apartment,1500,3,2.0,1,1,0,1,0,0,laundry in bldg,off-street parking,ma
315510,ogden-clearfield,945,apartment,875,2,1.0,1,1,1,0,0,0,w/d in unit,carport,ut
83167,boise,1712,apartment,1104,2,2.0,1,1,0,0,0,0,w/d in unit,,id
18956,colorado springs,1500,cottage/cabin,950,3,1.0,0,0,0,0,0,0,laundry on site,off-street parking,co
111646,"kansas city, MO",1266,apartment,1170,2,2.0,1,1,1,0,0,0,w/d hookups,off-street parking,ks
150746,grand rapids,1129,apartment,1006,2,1.5,1,1,1,0,0,0,laundry in bldg,carport,mi
88782,champaign urbana,685,apartment,1780,3,1.0,1,1,0,0,0,0,,,il
313587,waco,699,apartment,653,1,1.0,1,1,1,0,0,0,w/d hookups,,tx
66505,treasure coast,1387,apartment,1069,2,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,fl
317494,provo / orem,899,apartment,693,1,1.0,1,1,0,0,0,0,w/d in unit,,ut
6181,san luis obispo,2195,apartment,804,1,1.0,1,1,0,0,0,0,w/d hookups,attached garage,ca
166267,st cloud,1554,apartment,1281,3,2.0,1,1,1,0,0,0,,,mn
349127,birmingham,1030,apartment,1100,2,2.0,1,1,1,0,0,0,laundry on site,off-street parking,al
360344,phoenix,0,apartment,900,1,1.0,0,0,1,0,0,0,laundry on site,,az
19456,colorado springs,1467,apartment,1287,2,2.0,1,1,1,0,0,0,,,co
283224,nashville,890,apartment,825,1,1.0,1,1,1,0,0,0,,,tn
318029,salt lake city,1725,apartment,1282,3,2.0,1,1,0,0,0,0,w/d in unit,carport,ut
221481,north dakota,875,apartment,1057,2,2.0,0,0,1,0,0,0,w/d in unit,,nd
206988,las cruces,1,apartment,1277,3,2.0,1,1,1,0,0,0,w/d hookups,carport,nm
171690,columbia / jeff city,658,apartment,752,2,1.0,1,1,1,0,0,0,laundry on site,off-street parking,mo
203653,south jersey,1384,apartment,925,1,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,nj
236090,oklahoma city,645,apartment,850,2,1.0,1,1,1,0,0,0,laundry on site,off-street parking,ok
207536,albany,1341,apartment,809,1,1.0,0,0,1,0,0,0,,,ny
79970,savannah / hinesville,1035,apartment,820,2,2.0,1,1,1,0,0,0,laundry on site,off-street parking,ga
24620,fort collins / north CO,1350,apartment,1180,2,2.0,0,0,0,0,0,0,w/d in unit,detached garage,co
368820,chico,1800,house,1407,4,2.0,0,0,0,0,0,0,w/d in unit,attached garage,ca
225599,cincinnati,995,apartment,600,1,1.0,1,1,0,0,0,1,laundry in bldg,off-street parking,oh
150317,grand rapids,878,apartment,757,1,1.0,1,1,1,0,0,0,laundry in bldg,carport,mi
225053,cincinnati,830,apartment,631,1,1.0,1,1,1,0,0,0,laundry in bldg,street parking,oh
10849,stockton,1264,apartment,830,2,1.0,1,1,1,0,0,0,w/d hookups,carport,ca
337946,seattle-tacoma,3375,apartment,1106,2,2.0,1,1,0,0,1,0,w/d in unit,attached garage,wa
32513,"washington, DC",1775,apartment,1080,2,2.0,1,1,1,0,0,0,w/d in unit,,dc
122598,louisville,925,condo,1347,5,1.5,1,1,1,0,0,0,,,ky
336723,seattle-tacoma,1600,apartment,1000,2,2.0,0,0,1,0,0,0,laundry on site,carport,wa
154751,lansing,675,apartment,610,1,1.0,1,1,1,0,0,0,laundry on site,,mi
283917,tri-cities,569,apartment,926,2,2.0,0,0,1,0,0,0,,,tn
290167,beaumont / port arthur,730,apartment,750,1,1.0,0,0,1,0,0,0,,,tx
168739,jackson,695,apartment,717,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking,ms
348261,birmingham,805,apartment,1133,1,1.5,1,1,1,0,0,0,laundry on site,street parking,al
3959,san diego,2399,apartment,1028,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
308156,san antonio,1180,apartment,1046,3,2.0,0,0,1,0,0,0,,,tx
95044,"st louis, MO",990,apartment,986,2,2.0,1,1,1,0,0,0,w/d hookups,carport,il
278911,memphis,990,apartment,1000,2,2.0,1,1,1,0,0,0,,,tn
331398,roanoke,835,apartment,918,2,1.0,0,0,0,0,0,0,w/d in unit,off-street parking,va
314364,wichita falls,750,apartment,725,2,1.5,1,1,0,0,0,0,laundry on site,off-street parking,tx
350041,huntsville / decatur,785,apartment,1100,2,2.0,1,1,1,0,0,0,laundry on site,off-street parking,al
130337,shreveport,710,apartment,820,2,1.0,1,1,1,0,0,0,w/d hookups,off-street parking,la
339607,eastern panhandle,925,duplex,1090,3,1.0,0,0,0,0,0,0,w/d hookups,off-street parking,wv
363663,tucson,825,apartment,859,2,2.0,1,1,1,0,0,0,laundry on site,,az
144478,ann arbor,1644,apartment,943,2,2.0,1,1,1,1,0,0,w/d in unit,carport,mi
363269,tucson,1015,apartment,815,2,2.0,1,1,0,1,0,1,w/d in unit,carport,az
16313,boulder,1440,apartment,828,1,1.0,1,1,0,0,0,0,w/d in unit,off-street parking,co
14812,visalia-tulare,671,apartment,873,2,1.0,1,1,0,1,0,0,laundry on site,carport,ca
7603,SF bay area,2495,apartment,593,1,1.0,1,1,0,0,0,0,laundry on site,off-street parking,ca
111689,"kansas city, MO",190,apartment,320,1,1.0,0,0,0,0,0,1,laundry in bldg,off-street parking,ks
46820,lakeland,1015,manufactured,1216,3,2.0,1,1,1,0,0,0,w/d hookups,carport,fl
96811,bloomington,800,apartment,650,1,1.0,1,1,0,0,0,0,laundry in bldg,street parking,in
63257,tampa bay area,1599,apartment,1123,2,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,fl
54267,pensacola,1256,apartment,1056,3,1.5,1,1,1,0,0,0,w/d hookups,off-street parking,fl
143721,worcester / central MA,1400,apartment,1000,2,1.0,1,1,0,0,0,0,laundry in bldg,detached garage,ma
337140,seattle-tacoma,1420,apartment,950,2,2.0,1,1,1,0,0,0,w/d in unit,carport,wa
6183,san luis obispo,2200,house,1498,4,2.0,1,1,0,0,0,0,w/d in unit,detached garage,ca
320832,vermont,1450,apartment,785,1,1.0,1,1,0,0,0,0,laundry in bldg,off-street parking,vt
189020,raleigh / durham / CH,1450,house,1668,3,2.5,1,1,0,1,0,1,w/d in unit,attached garage,nc
269752,myrtle beach,1119,apartment,726,1,1.0,1,1,0,0,0,0,w/d in unit,off-street parking,sc
67893,athens,610,house,855,2,2.0,1,1,1,0,0,0,,,ga
96399,"st louis, MO",997,apartment,801,1,1.0,1,1,1,0,0,0,w/d in unit,carport,il
282772,nashville,1120,apartment,1021,2,2.0,0,0,1,0,0,0,,,tn
60487,space coast,979,apartment,890,2,1.0,1,1,1,0,0,0,w/d in unit,street parking,fl
103525,cedar rapids,1395,loft,1401,2,2.0,1,1,0,0,0,0,w/d in unit,off-street parking,ia
55703,sarasota-bradenton,1179,apartment,760,1,1.0,1,1,1,0,0,0,w/d in unit,,fl
229647,columbus,995,apartment,1000,2,1.0,1,0,1,0,0,0,w/d in unit,off-street parking,oh
165331,st cloud,965,apartment,751,1,1.0,1,1,1,0,0,0,w/d in unit,attached garage,mn
200704,central NJ,2280,apartment,1287,2,2.0,1,1,1,0,0,0,,,nj
136616,frederick,1625,apartment,1091,2,2.0,1,1,0,0,0,0,w/d in unit,street parking,md
96109,"st louis, MO",795,apartment,1250,2,1.5,1,1,0,0,0,0,w/d hookups,off-street parking,il
355072,tuscaloosa,1040,apartment,1356,3,2.0,1,1,1,0,0,0,w/d hookups,carport,al
11038,stockton,1684,apartment,1054,2,2.0,1,1,1,0,0,0,w/d in unit,,ca
35049,daytona beach,950,apartment,650,1,1.0,1,1,1,0,0,0,,,fl
365972,little rock,525,manufactured,800,2,1.0,1,1,1,0,0,0,w/d hookups,off-street parking,ar
118366,wichita,665,apartment,932,2,1.5,1,1,1,0,0,0,laundry on site,off-street parking,ks
228499,cleveland,1275,duplex,1700,3,2.0,0,0,0,0,0,0,w/d hookups,detached garage,oh
34417,delaware,1300,apartment,1100,3,1.0,0,0,1,0,0,0,w/d in unit,off-street parking,de
77056,northwest GA,1175,house,1200,3,2.0,0,0,0,0,0,0,w/d hookups,off-street parking,ga
363975,yuma,695,apartment,750,2,1.0,0,0,1,0,0,0,laundry on site,carport,az
172156,southeast missouri,1056,house,900,3,2.0,0,0,1,0,0,0,w/d in unit,,mo
356809,anchorage / mat-su,1100,apartment,700,2,1.0,0,0,0,0,0,0,laundry in bldg,off-street parking,ak
116505,topeka,650,apartment,822,2,1.0,1,1,0,1,0,0,laundry on site,off-street parking,ks
139387,boston,2600,house,1500,3,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,ma
335861,seattle-tacoma,1795,apartment,512,0,1.0,1,1,0,0,0,0,w/d in unit,attached garage,wa
240831,tulsa,685,apartment,900,2,1.0,0,0,1,0,0,0,laundry on site,off-street parking,ok
263608,columbia,899,townhouse,854,2,1.5,1,1,1,0,0,0,w/d in unit,street parking,sc
263636,columbia,675,apartment,840,2,1.0,1,1,1,0,0,0,w/d hookups,off-street parking,sc
49472,orlando,1100,apartment,1486,3,2.0,1,1,0,1,1,1,w/d in unit,attached garage,fl
